food_name,food_group,calories,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,serving_size_g,protein_calorie_ratio
Palak Paneer,Vegetarian,175,11.67,10.5,12.83,2.33,3.5,29.17,100,0.06
Chole Bhature,Vegetarian,355,53.25,11.83,17.75,5.92,7.1,0,100,0.03
Butter Chicken,Non-Vegetarian,320,9.14,22.86,18.29,2.74,1.83,64,100,0.07
Dal Tadka,Vegetarian,233,40.78,13.98,5.83,1.17,5.83,0,100,0.06
Masala Dosa,Vegetarian,336,48,6.72,11.52,0.96,2.88,0,100,0.02
Chicken Biryani,Non-Vegetarian,455,55.61,25.28,15.17,5.06,2.02,91,100,0.06
Samosa,Vegetarian,230,27.6,4.6,9.2,3.68,4.6,0,100,0.02
Paneer Tikka,Vegetarian,182,8.09,15.17,10.11,2.02,1.01,30.33,100,0.08
Aloo Gobi,Vegetarian,154,20.53,5.13,6.16,1.03,5.13,0,100,0.03
Mutton Rogan Josh,Non-Vegetarian,385,9.63,27.43,24.06,3.85,0.96,96.25,100,0.07
Idli,Vegetarian,176,35.2,5.87,4.69,0,4.69,0,100,0.03
Upma,Vegetarian,256,51.2,7.68,10.24,1.28,3.84,0,100,0.03
Chicken Korma,Non-Vegetarian,328,11.25,23.43,18.74,3.75,0.94,70.29,100,0.07
Chana Masala,Vegetarian,263,42.08,10.52,7.36,3.16,6.31,0,100,0.04
Vegetable Biryani,Vegetarian,342,62.7,9.12,11.4,4.56,2.28,0,100,0.03
Methi Thepla,Vegetarian,225,30.68,6.14,9.2,2.05,4.09,0,100,0.03
Chicken Tikka,Non-Vegetarian,230,5,28.5,10,2,0,80,100,0.12
Aloo Paratha,Vegetarian,314,44.86,5.38,8.97,2.69,3.59,0,100,0.02
Keema Matar,Vegetarian,320,9.14,22.86,18.29,3.66,1.83,77.71,100,0.07
Palak Chaat,Vegetarian,183,25.42,5.08,7.12,2.03,3.05,0,100,0.03
Malai Kofta,Vegetarian,407,15.26,8.14,25.95,5.09,3.05,50.88,100,0.02
Hyderabadi Biryani,Vegetarian,514,67.04,31.29,20.11,6.7,3.35,111.74,100,0.06
Saag Aloo,Vegetarian,174,27.19,5.44,6.53,2.18,4.35,0,100,0.03
Chicken Shawarma,Non-Vegetarian,342,14.66,27.85,17.59,4.89,2.93,73.29,100,0.08
Methi Paratha,Vegetarian,236,35.91,6.16,8.21,3.08,4.1,0,100,0.03
Kadhai Paneer,Vegetarian,290,19.33,11.6,17.4,3.87,1.93,29,100,0.04
Masoor Dal,Vegetarian,195,32.5,13,3.25,0,5.42,0,100,0.07
Chicken Pakora,Non-Vegetarian,295,19.67,19.67,14.75,2.95,1.97,68.83,100,0.07
Chana Pulao,Vegetarian,338,48.29,11.59,9.66,3.86,3.86,0,100,0.03
Prawn Curry,Non-Vegetarian,393,12.41,29.48,25.86,5.17,2.07,87.91,100,0.08
Paneer Butter Masala,Vegetarian,390,21.08,10.54,26.88,5.27,3.16,63.24,100,0.03
Dhokla,Vegetarian,180,36,7.2,4.8,1.2,6,0,100,0.04
Palak Chana,Vegetarian,260,36.4,12.48,8.32,3.12,6.24,0,100,0.05
Vegetable Pulao,Vegetarian,304,60.8,9.73,9.73,3.65,3.65,0,100,0.03
Beef Curry,Non-Vegetarian,332,6.64,23.66,16.6,4.15,1.66,74.7,100,0.07
Kachori,Vegetarian,232,36.91,5.27,8.44,4.22,3.16,0,100,0.02
Khichdi,Vegetarian,234,40.95,11.7,7.02,2.34,5.85,0,100,0.05
Butter Naan,Vegetarian,300,50,7,8,2,1,0,100,0.02
Dal Makhani,Vegetarian,330,42.43,14.14,9.43,2.83,6.6,0,100,0.04
Mutton Biryani,Non-Vegetarian,482,53.02,24.1,17.35,5.78,2.89,91.58,100,0.05
Chutney Sandwich,Vegetarian,165,27.5,5.5,5.5,1.1,3.3,0,100,0.03
Sev Puri,Vegetarian,208,34.67,4.62,9.24,2.31,4.62,0,100,0.02
Shahi Paneer,Vegetarian,435,17.4,11.6,24.65,3.87,2.9,53.17,100,0.03
Goat Curry,Vegetarian,385,11.55,26.95,24.06,5.78,1.93,81.81,100,0.07
Dahi Puri,Vegetarian,195,27.3,4.87,6.82,1.95,3.9,0,100,0.03
Pesarattu,Vegetarian,272,43.52,10.88,8.7,2.18,3.26,0,100,0.04
Lassi,Vegetarian,174,29,5.8,6.96,3.48,0,17.4,100,0.03
Bhindi Masala,Vegetarian,159,18.71,3.74,6.55,1.87,4.68,0,100,0.02
Paneer Lababdar,Vegetarian,357,18.36,15.3,25.5,4.08,2.04,40.8,100,0.04
Chicken Vindaloo,Non-Vegetarian,358,8.33,23.73,18.32,4.16,1.67,66.6,100,0.07
Shahi Tukda,Vegetarian,364,41.6,6.24,20.8,8.32,3.12,26,100,0.02
Lauki Kofta,Vegetarian,302,25.17,10.07,18.12,4.03,5.03,40.27,100,0.03
Chana Dal,Vegetarian,241,38.34,15.34,5.48,1.1,6.57,0,100,0.06
Masala Puri,Vegetarian,367,52.43,8.39,15.73,5.24,4.19,0,100,0.02
Aloo Methi,Vegetarian,183,25.42,5.08,7.12,3.05,5.08,0,100,0.03
Palak Paratha,Vegetarian,245,37.28,6.39,9.59,4.26,5.33,0,100,0.03
Methi Malai Murg,Vegetarian,374,13.78,11.81,25.1,5.91,2.95,34.45,100,0.03
Veg Kofta Curry,Vegetarian,410,25.63,10.25,26.14,7.18,6.15,51.25,100,0.03
Suji Halwa,Vegetarian,252,40.32,5.04,8.06,6.05,7.06,0,100,0.02
Veg Pulao,Vegetarian,337,61.78,10.11,10.11,4.49,4.49,0,100,0.03
Besan Ladoo,Vegetarian,316,47.4,7.37,12.64,10.53,3.16,21.07,100,0.02
Chilla,Vegetarian,148,19.73,7.89,3.95,2.96,2.96,0,100,0.05
Chana Tikki,Vegetarian,240,33.6,6.72,7.68,2.88,4.8,0,100,0.03
Paneer Bhurji,Vegetarian,314,20.19,22.43,20.19,4.49,2.24,44.86,100,0.07
Tomato Rice,Vegetarian,362,62.06,8.27,10.34,5.17,3.1,0,100,0.02
Dal Fry,Vegetarian,205,29.29,9.76,4.88,0.98,4.88,0,100,0.05
Pulao,Vegetarian,333,57.23,8.33,9.37,4.16,3.12,0,100,0.03
Khoya Mawa,Vegetarian,457,57.13,9.14,28.56,11.43,4.57,68.55,100,0.02
Pakora,Vegetarian,307,35.82,8.19,15.35,6.14,4.09,0,100,0.03
Boondi Raita,Vegetarian,154,17.11,4.28,5.13,1.71,2.57,0,100,0.03
