food_name,display_name,serving_weight_grams,display_order,is_default
Egg,1 Egg,50,1,true
Egg,2 Eggs,100,2,false
Egg,100 g,100,3,false
Banana,1 Small Banana,80,1,false
Banana,1 Medium Banana,120,2,true
Banana,1 Large Banana,150,3,false
Banana,100 g,100,4,false
Apple,1 Small Apple,120,1,false
Apple,1 Medium Apple,180,2,true
Apple,1 Large Apple,220,3,false
Apple,100 g,100,4,false
Rice,Small Bowl,100,1,false
Rice,Medium Bowl,150,2,true
Rice,Large Bowl,200,3,false
Rice,100 g,100,4,false
Milk,Small Glass,150,1,false
Milk,Glass,200,2,true
Milk,Cup,240,3,false
Milk,100 ml,100,4,false
Chapati,1 Chapati,30,1,true
Chapati,2 Chapatis,60,2,false
Chapati,100 g,100,3,false
Bread,1 Slice,30,1,true
Bread,2 Slices,60,2,false
Bread,100 g,100,3,false
Curd,Small Bowl,80,1,false
Curd,Bowl,150,2,true
Curd,100 g,100,3,false
Paneer,1 Cube,25,1,true
Paneer,2 Cubes,50,2,false
Paneer,100 g,100,3,false
Chicken Breast (Grilled),Half Piece,85,1,false
Chicken Breast (Grilled),1 Piece,170,2,true
Chicken Breast (Grilled),100 g,100,3,false
Idli,1 Idli,30,1,false
Idli,2 Idlis,60,2,true
Idli,3 Idlis,90,3,false
Idli,100 g,100,4,false
Dosa,1 Small Dosa,60,1,false
Dosa,1 Medium Dosa,90,2,true
Dosa,1 Large Dosa,120,3,false
Dosa,100 g,100,4,false
Poha,Small Plate,100,1,false
Poha,Medium Plate,150,2,true
Poha,Large Plate,200,3,false
Poha,100 g,100,4,false
Upma,Small Bowl,120,1,false
Upma,Medium Bowl,180,2,true
Upma,100 g,100,3,false
Samosa,1 Samosa,50,1,true
Samosa,2 Samosas,100,2,false
Samosa,100 g,100,3,false
